Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
EmployeeSuite,Edge Chromium 115,,,2023-07-27 22:44:12,2023-07-27 22:48:36,4m - 24.810s,PASSED
,,,,,,,
Test Cases/Employee/ContactJobSeeker,Edge Chromium 115,,,2023-07-27 22:44:12,2023-07-27 22:45:30,1m - 17.820s,PASSED
"callTestCase(findTestCase(""Test Cases/Employee/EmployeeLoginTC""), [:])",Edge Chromium 115,,,2023-07-27 22:44:13,2023-07-27 22:44:46,33.409s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_Jobs Search, Search for a Job - Jobsto_ce5d69/a_Find Jobseekers""))",Edge Chromium 115,,,2023-07-27 22:44:46,2023-07-27 22:44:54,7.142s,PASSED
"setText(findTestObject(""Object Repository/ContactJobSeeker/Page_/input_PL_keywords""), ""sw tester"")",Edge Chromium 115,,,2023-07-27 22:44:54,2023-07-27 22:44:59,5.809s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_/button_Search""))",Edge Chromium 115,,,2023-07-27 22:44:59,2023-07-27 22:45:02,2.183s,PASSED
driver = getWebDriver(),Edge Chromium 115,,,2023-07-27 22:45:02,2023-07-27 22:45:02,0.001s,PASSED
current = driver.getWindowHandle(),Edge Chromium 115,,,2023-07-27 22:45:02,2023-07-27 22:45:02,0.058s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_/a_VIEW PROFILE""))",Edge Chromium 115,,,2023-07-27 22:45:02,2023-07-27 22:45:03,1.655s,PASSED
handels = new java.util.ArrayList(driver.getWindowHandles()),Edge Chromium 115,,,2023-07-27 22:45:03,2023-07-27 22:45:03,0.027s,PASSED
for (String s : handels),Edge Chromium 115,,,2023-07-27 22:45:03,2023-07-27 22:45:03,0.068s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_/button_Message""))",Edge Chromium 115,,,2023-07-27 22:45:03,2023-07-27 22:45:07,3.391s,PASSED
"setText(findTestObject(""Object Repository/ContactJobSeeker/Page_/textarea_Contact inquiry_input_inquiry""), ""test "")",Edge Chromium 115,,,2023-07-27 22:45:07,2023-07-27 22:45:08,1.251s,PASSED
"setText(findTestObject(""Object Repository/ContactJobSeeker/Page_/input_First name_input_firstname""), ""ahmed"")",Edge Chromium 115,,,2023-07-27 22:45:08,2023-07-27 22:45:10,2.054s,PASSED
"setText(findTestObject(""Object Repository/ContactJobSeeker/Page_/input_Last name_input_lastname""), ""test"")",Edge Chromium 115,,,2023-07-27 22:45:10,2023-07-27 22:45:11,0.934s,PASSED
"setText(findTestObject(""Object Repository/ContactJobSeeker/Page_/input_Phone number_input_phone""), ""+201146196154"")",Edge Chromium 115,,,2023-07-27 22:45:11,2023-07-27 22:45:12,0.983s,PASSED
"setText(findTestObject(""Object Repository/ContactJobSeeker/Page_/input_Email address_input_email""), ""employee@gmail.com"")",Edge Chromium 115,,,2023-07-27 22:45:12,2023-07-27 22:45:13,0.974s,PASSED
"setText(findTestObject(""Object Repository/ContactJobSeeker/Page_/input_Company_input_company""), ""testawy"")",Edge Chromium 115,,,2023-07-27 22:45:13,2023-07-27 22:45:14,1.044s,PASSED
"setText(findTestObject(""Object Repository/ContactJobSeeker/Page_/input_Website_input_website""), """")",Edge Chromium 115,,,2023-07-27 22:45:14,2023-07-27 22:45:15,0.913s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_/input_Website_privacy""))",Edge Chromium 115,,,2023-07-27 22:45:15,2023-07-27 22:45:16,0.641s,PASSED
a = new org.openqa.selenium.interactions.Actions(driver),Edge Chromium 115,,,2023-07-27 22:45:16,2023-07-27 22:45:16,0.001s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:45:16,2023-07-27 22:45:16,0.036s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:45:16,2023-07-27 22:45:16,0.025s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:45:16,2023-07-27 22:45:16,0.034s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:45:16,2023-07-27 22:45:16,0.025s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:45:16,2023-07-27 22:45:16,0.034s,PASSED
Thread.sleep(2000),Edge Chromium 115,,,2023-07-27 22:45:16,2023-07-27 22:45:18,2.005s,PASSED
"a1 = ""0""",Edge Chromium 115,,,2023-07-27 22:45:18,2023-07-27 22:45:18,0.001s,PASSED
"a2 = ""7""",Edge Chromium 115,,,2023-07-27 22:45:18,2023-07-27 22:45:18,0.000s,PASSED
"a3 = ""8""",Edge Chromium 115,,,2023-07-27 22:45:18,2023-07-27 22:45:18,0.000s,PASSED
"a4 = ""9""",Edge Chromium 115,,,2023-07-27 22:45:18,2023-07-27 22:45:18,0.000s,PASSED
build().perform(),Edge Chromium 115,,,2023-07-27 22:45:18,2023-07-27 22:45:18,0.028s,PASSED
"sendKeys(findTestObject(""Object Repository/ContactJobSeeker/Page_/button_Send""), String.valueOf(a1 + a2 + a3 + a4))",Edge Chromium 115,,,2023-07-27 22:45:18,2023-07-27 22:45:18,0.505s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_/button_Send""))",Edge Chromium 115,,,2023-07-27 22:45:18,2023-07-27 22:45:19,1.177s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/ContactJobSeeker/Page_/div_You have successfully sent  a message""))",Edge Chromium 115,,,2023-07-27 22:45:19,2023-07-27 22:45:21,1.433s,PASSED
"click(findTestObject(""Object Repository/ContactJobSeeker/Page_/a_Close""))",Edge Chromium 115,,,2023-07-27 22:45:21,2023-07-27 22:45:21,0.542s,PASSED
Thread.sleep(2000),Edge Chromium 115,,,2023-07-27 22:45:21,2023-07-27 22:45:23,2.009s,PASSED
